run_id,task_id,agent_id,model_id,label,seg,proj,N,d,H,C,fisher,n_steps,n_frag,total_chars,mean_frag_len,n_tool_calls,repeat_ratio
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,cos_step,20,3,0.9552327283213633,0.045430871553481786,0.06034886528023528,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,cos_step,20,4,0.8178910949457433,0.24143703494112986,0.3598349570550447,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,norm,20,3,0.9552327283213633,0.045430871553481786,0.06034886528023528,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,norm,20,4,0.8178910949457433,0.24143703494112986,0.3598349570550447,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,pca1,20,3,0.6969681922921453,0.25395768479701747,0.39296026012028673,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,pca1,20,4,0.6302231327753715,0.3277559030182138,0.7697521433898179,20,20,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,cos_step,30,3,0.9579073713825504,0.04117930773582048,0.058228224737497176,30,30,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,cos_step,30,4,0.8510810750574221,0.20520128204545196,0.2402842937608642,30,30,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,norm,30,3,0.9579073713825504,0.04117930773582048,0.058228224737497176,30,30,,,,
20241029_OpenHands-CodeAct-2.1-sonnet-20241022/astropy__astropy-13453,astropy__astropy-13453,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,20241029_OpenHands-CodeAct-2.1-sonnet-20241022,1,step,norm,30,4,0.8510810750574221,0.20520128204545196,0.2402842937608642,30,30,,,,
